"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"DRK49","OUT018",NA
"NCI30","OUT010",NA
"DRD60","OUT017",NA
"NCG19","OUT046",NA
"FDH12","OUT035",NA
"FDM32","OUT035",NA
"FDM27","OUT035",NA
"NCU53","OUT027",NA
"NCQ18","OUT046",NA
"FDS10","OUT013",NA
"FDB33","OUT027",NA
"FDI12","OUT013",NA
"NCW42","OUT013",NA
"NCC06","OUT018",NA
"FDW02","OUT017",NA
"NCD43","OUT017",NA
"FDM57","OUT018",NA
"FDA58","OUT017",NA
"FDK56","OUT046",NA
"FDP52","OUT045",NA
"FDW20","OUT018",NA
"FDS52","OUT049",NA
"NCT29","OUT018",NA
"NCL54","OUT013",NA
"FDC05","OUT045",NA
"FDF34","OUT035",NA
"FDP03","OUT027",NA
"FDD32","OUT010",NA
"FDZ10","OUT045",NA
"FDZ40","OUT035",NA
"FDD51","OUT018",NA
"NCY30","OUT019",NA
"FDP58","OUT017",NA
"FDV49","OUT017",NA
"FDY24","OUT019",NA
"NCO55","OUT017",NA
"FDR13","OUT017",NA
"FDS51","OUT017",NA
"FDP26","OUT045",NA
"NCB54","OUT027",NA
"FDF32","OUT017",NA
"FDN31","OUT018",NA
"DRM48","OUT017",NA
"FDN20","OUT049",NA
"DRL01","OUT046",NA
"FDV56","OUT049",NA
"DRH13","OUT027",NA
"FDA03","OUT017",NA
"FDF47","OUT027",NA
"FDX32","OUT046",NA
"FDX57","OUT049",NA
"NCA30","OUT045",NA
"FDO49","OUT013",NA
"FDL04","OUT019",NA
"DRM48","OUT035",NA
"FDR16","OUT013",NA
"NCC19","OUT018",NA
"NCE42","OUT045",NA
"FDY24","OUT017",NA
"FDH19","OUT049",NA
"FDJ46","OUT013",NA
"FDN45","OUT010",NA
"FDY08","OUT035",NA
"FDZ37","OUT035",NA
"NCT30","OUT045",NA
"DRY23","OUT018",NA
"NCZ30","OUT018",NA
"FDC44","OUT018",NA
"FDB45","OUT035",NA
"FDY04","OUT013",NA
"FDM27","OUT046",NA
"FDZ43","OUT017",NA
"FDT39","OUT019",NA
"NCC06","OUT019",NA
"FDL15","OUT027",NA
"FDL57","OUT017",NA
"FDU08","OUT046",NA
"FDK40","OUT017",NA
"FDQ12","OUT010",NA
"FDS48","OUT017",NA
"FDP09","OUT045",NA
"FDW21","OUT049",NA
"FDY25","OUT035",NA
"DRE13","OUT017",NA
"FDV43","OUT019",NA
"FDD22","OUT045",NA
"FDM46","OUT019",NA
"NCO30","OUT010",NA
"FDM25","OUT046",NA
"NCN41","OUT049",NA
"FDU24","OUT045",NA
"FDZ50","OUT046",NA
"FDP45","OUT013",NA
"NCM54","OUT045",NA
"FDW10","OUT019",NA
"FDP20","OUT017",NA
"FDK32","OUT046",NA
"FDN52","OUT049",NA
"FDM58","OUT045",NA
"FDZ46","OUT027",NA
"NCA18","OUT018",NA
"FDD35","OUT046",NA
"NCK31","OUT035",NA
"FDI40","OUT027",NA
"FDT50","OUT019",NA
"NCT06","OUT046",NA
"FDT31","OUT035",NA
"FDT45","OUT049",NA
"FDT13","OUT045",NA
"FDO50","OUT045",NA
"NCU18","OUT010",NA
"NCR54","OUT049",NA
"NCO18","OUT018",NA
"FDU09","OUT045",NA
"FDT13","OUT018",NA
"FDE09","OUT046",NA
"NCK53","OUT019",NA
"FDG45","OUT049",NA
"DRH15","OUT035",NA
"FDO21","OUT019",NA
"FDD14","OUT027",NA
"FDC09","OUT046",NA
"FDH45","OUT027",NA
"FDV32","OUT046",NA
"FDG12","OUT035",NA
"FDS32","OUT013",NA
"NCL55","OUT018",NA
"DRE01","OUT035",NA
"DRE15","OUT049",NA
"NCL42","OUT045",NA
"FDP31","OUT013",NA
"FDN33","OUT018",NA
"FDZ59","OUT046",NA
"FDE45","OUT010",NA
"FDJ07","OUT013",NA
"FDQ45","OUT018",NA
"FDM33","OUT027",NA
"FDO15","OUT010",NA
"FDM46","OUT013",NA
"FDR03","OUT045",NA
"FDY49","OUT018",NA
"FDQ60","OUT045",NA
"FDW10","OUT049",NA
"FDO51","OUT049",NA
"FDJ40","OUT018",NA
"FDS20","OUT018",NA
"FDU45","OUT013",NA
"FDV02","OUT035",NA
"FDN09","OUT046",NA
"NCM55","OUT027",NA
"FDN23","OUT018",NA
"FDY31","OUT010",NA
"FDW03","OUT010",NA
"FDD14","OUT046",NA
"FDV23","OUT017",NA
"DRI03","OUT045",NA
"FDN13","OUT035",NA
"FDF45","OUT027",NA
"FDU46","OUT035",NA
"FDB57","OUT049",NA
"FDV12","OUT049",NA
"FDQ58","OUT013",NA
"NCA18","OUT017",NA
"FDH52","OUT049",NA
"FDM24","OUT018",NA
"NCP43","OUT027",NA
"NCO18","OUT019",NA
"FDM32","OUT017",NA
"NCL07","OUT017",NA
"FDK03","OUT013",NA
"FDP59","OUT017",NA
"FDQ24","OUT049",NA
"FDQ16","OUT018",NA
"FDU44","OUT013",NA
"FDH28","OUT010",NA
"FDV28","OUT019",NA
"FDM22","OUT045",NA
"FDR56","OUT046",NA
"FDV39","OUT049",NA
"FDU37","OUT019",NA
"FDQ11","OUT010",NA
"FDX02","OUT045",NA
"NCS42","OUT018",NA
"FDY57","OUT027",NA
"FDB21","OUT049",NA
"FDE28","OUT017",NA
"FDQ55","OUT017",NA
"FDA48","OUT049",NA
"FDZ19","OUT045",NA
"NCC43","OUT045",NA
"NCV18","OUT046",NA
"NCA42","OUT018",NA
"FDY45","OUT046",NA
"NCC30","OUT045",NA
"FDM57","OUT013",NA
"FDL09","OUT010",NA
"FDB09","OUT027",NA
"FDT44","OUT035",NA
"NCT06","OUT027",NA
"FDX26","OUT049",NA
"FDK32","OUT013",NA
"DRA12","OUT046",NA
"FDO46","OUT010",NA
"FDE52","OUT013",NA
"NCH42","OUT045",NA
"FDV08","OUT035",NA
"FDB47","OUT018",NA
"FDC28","OUT010",NA
"FDD22","OUT046",NA
"FDS07","OUT027",NA
"DRI13","OUT045",NA
"FDG32","OUT018",NA
"FDU14","OUT017",NA
"FDD28","OUT019",NA
"NCP41","OUT017",NA
"FDS08","OUT049",NA
"FDX47","OUT045",NA
"FDC53","OUT019",NA
"FDQ19","OUT035",NA
"FDL14","OUT045",NA
"FDM33","OUT019",NA
"FDA51","OUT045",NA
"FDZ27","OUT018",NA
"FDT04","OUT046",NA
"DRC13","OUT049",NA
"FDR16","OUT027",NA
"FDQ03","OUT027",NA
"FDE38","OUT035",NA
"DRH23","OUT027",NA
"FDT11","OUT019",NA
"FDD09","OUT035",NA
"FDR40","OUT045",NA
"FDX07","OUT017",NA
"FDR07","OUT035",NA
"FDA51","OUT017",NA
"FDT59","OUT019",NA
"FDF20","OUT017",NA
"FDR13","OUT045",NA
"FDY26","OUT049",NA
"FDW04","OUT017",NA
"FDK52","OUT017",NA
"FDN60","OUT049",NA
"FDM09","OUT019",NA
"FDP46","OUT049",NA
"FDB50","OUT019",NA
"NCQ29","OUT049",NA
"FDP16","OUT027",NA
"FDX33","OUT018",NA
"FDP07","OUT010",NA
"FDN22","OUT046",NA
"FDF39","OUT049",NA
"FDS21","OUT017",NA
"NCM42","OUT013",NA
"FDK50","OUT019",NA
"DRF13","OUT027",NA
"FDH35","OUT018",NA
"FDP60","OUT018",NA
"DRJ49","OUT027",NA
"NCT42","OUT019",NA
"FDE38","OUT049",NA
"FDI04","OUT049",NA
"NCH54","OUT045",NA
"FDT56","OUT049",NA
"DRD15","OUT018",NA
"FDV58","OUT013",NA
"FDP21","OUT049",NA
"FDH05","OUT013",NA
"FDR10","OUT027",NA
"NCP06","OUT045",NA
"FDF33","OUT049",NA
"DRK37","OUT013",NA
"DRH49","OUT045",NA
"FDT58","OUT013",NA
"FDD41","OUT018",NA
"FDP40","OUT018",NA
"FDM51","OUT027",NA
"FDO45","OUT010",NA
"FDW33","OUT010",NA
"FDY24","OUT045",NA
"FDB10","OUT010",NA
"FDM40","OUT035",NA
"NCI06","OUT017",NA
"FDW12","OUT019",NA
"FDX48","OUT027",NA
"NCW05","OUT027",NA
"FDX27","OUT017",NA
"DRM37","OUT045",NA
"FDA38","OUT045",NA
"FDR36","OUT046",NA
"FDZ45","OUT046",NA
"FDG05","OUT017",NA
"FDK28","OUT013",NA
"FDV47","OUT045",NA
"FDN21","OUT045",NA
"FDP20","OUT027",NA
"FDI35","OUT045",NA
"DRY23","OUT013",NA
"FDA56","OUT017",NA
"FDB09","OUT013",NA
"NCO26","OUT027",NA
"FDQ49","OUT018",NA
"FDI52","OUT027",NA
"FDZ44","OUT027",NA
"FDZ09","OUT018",NA
"FDY03","OUT049",NA
"NCG42","OUT017",NA
"DRI13","OUT027",NA
"FDQ32","OUT013",NA
"FDW16","OUT035",NA
"FDU27","OUT046",NA
"FDR28","OUT010",NA
"FDQ49","OUT010",NA
"FDS37","OUT046",NA
"FDW26","OUT018",NA
"FDX12","OUT018",NA
"NCP06","OUT013",NA
"FDW45","OUT010",NA
"NCN30","OUT049",NA
"FDN24","OUT049",NA
"NCL41","OUT027",NA
"FDR02","OUT019",NA
"FDD09","OUT010",NA
"FDS33","OUT010",NA
"FDU22","OUT045",NA
"FDI53","OUT013",NA
"DRH01","OUT049",NA
"FDX32","OUT013",NA
"NCP30","OUT018",NA
"FDB60","OUT045",NA
"FDB14","OUT049",NA
"NCP02","OUT035",NA
"FDJ10","OUT017",NA
"FDG34","OUT046",NA
"NCB18","OUT017",NA
"FDM16","OUT049",NA
"FDW25","OUT018",NA
"FDB35","OUT010",NA
"DRN11","OUT013",NA
"FDF41","OUT019",NA
"FDH16","OUT045",NA
"NCQ50","OUT018",NA
"DRH23","OUT018",NA
"DRJ37","OUT013",NA
"DRJ24","OUT027",NA
"FDY16","OUT035",NA
"FDQ27","OUT045",NA
"FDZ33","OUT045",NA
"FDF29","OUT045",NA
"FDA08","OUT049",NA
"FDG31","OUT046",NA
"FDE34","OUT019",NA
"NCR30","OUT027",NA
"FDV33","OUT035",NA
"DRZ24","OUT018",NA
"NCL54","OUT035",NA
"FDR12","OUT049",NA
"NCC54","OUT046",NA
"DRN59","OUT013",NA
"FDX50","OUT019",NA
"FDV31","OUT027",NA
"NCA29","OUT027",NA
"FDW60","OUT049",NA
"FDX08","OUT017",NA
"DRD49","OUT013",NA
"FDD33","OUT046",NA
"FDW35","OUT013",NA
"FDJ36","OUT017",NA
"FDV51","OUT035",NA
"FDW36","OUT046",NA
"FDH35","OUT046",NA
"NCS30","OUT027",NA
"FDN49","OUT017",NA
"FDL08","OUT018",NA
"FDI09","OUT013",NA
"FDP19","OUT018",NA
"FDU21","OUT010",NA
"NCP41","OUT045",NA
"FDY10","OUT013",NA
"FDP12","OUT018",NA
"NCN26","OUT049",NA
"FDK44","OUT013",NA
"FDC28","OUT049",NA
"FDJ41","OUT027",NA
"NCT29","OUT035",NA
"NCH42","OUT019",NA
"FDU60","OUT018",NA
"FDS02","OUT045",NA
"FDC51","OUT046",NA
"FDU03","OUT013",NA
"FDX39","OUT045",NA
"NCY05","OUT010",NA
"NCL06","OUT027",NA
"FDD32","OUT035",NA
"NCN41","OUT045",NA
"NCX53","OUT049",NA
"FDU57","OUT019",NA
"FDQ23","OUT046",NA
"FDQ52","OUT045",NA
"FDC14","OUT045",NA
"FDY09","OUT035",NA
"FDQ28","OUT045",NA
"FDV25","OUT046",NA
"FDJ07","OUT035",NA
"DRB25","OUT049",NA
"FDK52","OUT019",NA
"FDY52","OUT027",NA
"FDB28","OUT046",NA
"FDT36","OUT035",NA
"FDV25","OUT017",NA
"NCN07","OUT027",NA
"FDC57","OUT017",NA
"FDQ03","OUT018",NA
"FDU23","OUT017",NA
"NCX41","OUT035",NA
"NCD06","OUT035",NA
"FDW08","OUT045",NA
"NCU29","OUT017",NA
"NCE06","OUT013",NA
"FDV52","OUT010",NA
"FDB02","OUT017",NA
"NCR18","OUT045",NA
"FDK16","OUT049",NA
"NCQ29","OUT010",NA
"FDZ01","OUT019",NA
"FDW27","OUT035",NA
"FDD17","OUT018",NA
"FDW39","OUT013",NA
"DRH59","OUT045",NA
"FDS52","OUT013",NA
"FDU40","OUT027",NA
"NCF54","OUT013",NA
"FDH46","OUT045",NA
"NCP14","OUT049",NA
"FDH50","OUT049",NA
"DRF15","OUT010",NA
"FDV27","OUT027",NA
"NCJ06","OUT049",NA
"FDN02","OUT018",NA
"FDQ51","OUT049",NA
"FDQ07","OUT017",NA
"FDS45","OUT049",NA
"NCJ06","OUT045",NA
"FDD36","OUT035",NA
"FDY25","OUT045",NA
"FDU52","OUT046",NA
"DRK47","OUT017",NA
"NCL30","OUT017",NA
"FDN22","OUT035",NA
"NCF30","OUT027",NA
"FDK03","OUT035",NA
"FDT45","OUT017",NA
"NCC54","OUT027",NA
"FDP08","OUT018",NA
"FDU44","OUT046",NA
"DRG39","OUT035",NA
"FDU32","OUT049",NA
"FDY27","OUT049",NA
"NCP54","OUT013",NA
"NCZ41","OUT049",NA
"DRL49","OUT013",NA
"FDI05","OUT018",NA
"FDY56","OUT045",NA
"DRC13","OUT013",NA
"NCV29","OUT017",NA
"FDR24","OUT049",NA
"FDZ34","OUT018",NA
"FDP37","OUT035",NA
"FDX08","OUT027",NA
"FDS57","OUT045",NA
"NCG18","OUT049",NA
"FDK25","OUT018",NA
"FDH53","OUT049",NA
"DRI59","OUT018",NA
"FDA52","OUT046",NA
"FDT20","OUT010",NA
"FDE36","OUT019",NA
"FDI24","OUT017",NA
"FDB28","OUT018",NA
"FDV11","OUT017",NA
"FDP01","OUT046",NA
"FDD34","OUT027",NA
"FDJ50","OUT027",NA
"FDZ44","OUT013",NA
"DRO59","OUT035",NA
"DRB48","OUT045",NA
"FDR21","OUT018",NA
"NCE42","OUT010",NA
"FDO23","OUT046",NA
"NCE30","OUT018",NA
"FDQ22","OUT035",NA
"FDY01","OUT045",NA
"FDS08","OUT017",NA
"FDG28","OUT018",NA
"FDQ51","OUT018",NA
"FDB05","OUT017",NA
"FDO56","OUT049",NA
"FDE02","OUT018",NA
"FDN45","OUT017",NA
"FDS09","OUT013",NA
"NCA54","OUT018",NA
"FDP09","OUT010",NA
"FDC53","OUT045",NA
"NCM55","OUT017",NA
"FDL09","OUT018",NA
"FDA11","OUT019",NA
"FDA50","OUT045",NA
"FDC23","OUT017",NA
"FDE22","OUT049",NA
"FDD23","OUT046",NA
"NCA29","OUT049",NA
"FDK38","OUT046",NA
"DRC13","OUT046",NA
"NCP43","OUT049",NA
"FDX28","OUT049",NA
"FDF08","OUT049",NA
"FDZ33","OUT046",NA
"FDD10","OUT049",NA
"FDO58","OUT017",NA
"FDI50","OUT017",NA
"FDO58","OUT045",NA
"FDX08","OUT013",NA
"NCK17","OUT010",NA
"FDF39","OUT035",NA
"FDU45","OUT010",NA
"NCJ18","OUT018",NA
"DRC27","OUT019",NA
"DRC25","OUT035",NA
"FDU59","OUT035",NA
"FDU28","OUT035",NA
"NCP30","OUT046",NA
"FDB39","OUT018",NA
"FDE41","OUT013",NA
"DRH11","OUT010",NA
"FDA58","OUT045",NA
"FDU50","OUT046",NA
"FDM34","OUT013",NA
"FDM44","OUT027",NA
"FDR39","OUT045",NA
"FDM25","OUT045",NA
"FDQ49","OUT049",NA
"DRH25","OUT018",NA
"FDM09","OUT027",NA
"FDL44","OUT019",NA
"NCR42","OUT018",NA
"DRL59","OUT046",NA
"FDX43","OUT013",NA
"DRK47","OUT010",NA
"FDU48","OUT018",NA
"FDY12","OUT045",NA
"NCN43","OUT018",NA
"NCM55","OUT018",NA
"FDQ21","OUT027",NA
"FDX13","OUT035",NA
"NCK30","OUT027",NA
"FDG20","OUT049",NA
"DRG27","OUT017",NA
"FDY14","OUT018",NA
"FDP59","OUT035",NA
"FDU60","OUT017",NA
"NCC18","OUT019",NA
"DRJ39","OUT017",NA
"FDS07","OUT049",NA
"FDM08","OUT027",NA
"FDP51","OUT045",NA
"FDU16","OUT035",NA
"FDH12","OUT013",NA
"DRE48","OUT010",NA
"NCL42","OUT027",NA
"FDR21","OUT045",NA
"NCW29","OUT035",NA
"FDO11","OUT013",NA
"NCM31","OUT049",NA
"FDV35","OUT019",NA
"FDF58","OUT017",NA
"NCE43","OUT049",NA
"FDA02","OUT035",NA
"DRL37","OUT010",NA
"FDR24","OUT018",NA
"FDW59","OUT049",NA
"FDS22","OUT049",NA
"FDW24","OUT017",NA
"FDU24","OUT035",NA
"FDA21","OUT027",NA
"FDH58","OUT027",NA
"FDW36","OUT018",NA
"FDI45","OUT027",NA
"FDU01","OUT018",NA
"FDF35","OUT027",NA
"FDU43","OUT019",NA
"FDE24","OUT019",NA
"FDK50","OUT049",NA
"FDG31","OUT045",NA
"FDC60","OUT045",NA
"FDL36","OUT013",NA
"FDP21","OUT013",NA
"FDW16","OUT045",NA
"FDX02","OUT017",NA
"FDQ58","OUT027",NA
"FDT51","OUT046",NA
"FDD59","OUT049",NA
"NCM42","OUT018",NA
"FDA57","OUT018",NA
"FDZ48","OUT035",NA
"FDE46","OUT045",NA
"NCZ30","OUT019",NA
"FDB56","OUT017",NA
"FDA25","OUT027",NA
"FDD20","OUT013",NA
"FDL25","OUT013",NA
"NCO18","OUT049",NA
"FDJ45","OUT017",NA
"FDR12","OUT035",NA
"NCF19","OUT010",NA
"FDK25","OUT046",NA
"NCR17","OUT046",NA
"FDC52","OUT046",NA
"NCA54","OUT017",NA
"FDR45","OUT010",NA
"NCM19","OUT049",NA
"FDF39","OUT027",NA
"FDX23","OUT049",NA
"FDD58","OUT027",NA
"FDX28","OUT013",NA
"NCD31","OUT013",NA
"FDU57","OUT018",NA
"FDI27","OUT046",NA
"NCM42","OUT046",NA
"FDD32","OUT027",NA
"FDI34","OUT013",NA
"NCM29","OUT049",NA
"FDG46","OUT018",NA
"DRC01","OUT010",NA
"FDB15","OUT027",NA
"NCA17","OUT027",NA
"FDF10","OUT046",NA
"FDR26","OUT027",NA
"FDI02","OUT049",NA
"NCM54","OUT010",NA
"FDF14","OUT013",NA
"FDJ33","OUT010",NA
"FDM20","OUT035",NA
"FDC03","OUT027",NA
"NCX05","OUT046",NA
"NCM41","OUT027",NA
"NCU29","OUT010",NA
"FDQ59","OUT017",NA
"FDH46","OUT010",NA
"FDH09","OUT013",NA
"NCD06","OUT045",NA
"FDC15","OUT035",NA
"DRD37","OUT027",NA
"FDT28","OUT027",NA
"FDR28","OUT027",NA
"FDT38","OUT017",NA
"FDV34","OUT027",NA
"FDY52","OUT035",NA
"FDB34","OUT013",NA
"DRL23","OUT018",NA
"DRB24","OUT046",NA
"FDJ50","OUT046",NA
"FDQ49","OUT035",NA
"FDP20","OUT035",NA
"FDV19","OUT027",NA
"NCR54","OUT045",NA
"FDO09","OUT010",NA
"FDS57","OUT018",NA
"FDN10","OUT049",NA
"FDV23","OUT049",NA
"FDY28","OUT049",NA
"DRG51","OUT013",NA
"FDD45","OUT019",NA
"NCL18","OUT027",NA
"NCM29","OUT013",NA
"FDF17","OUT027",NA
"FDE22","OUT017",NA
"FDQ22","OUT017",NA
"FDS01","OUT013",NA
"FDW35","OUT027",NA
"FDJ33","OUT046",NA
"NCF54","OUT035",NA
"FDE09","OUT013",NA
"NCE06","OUT045",NA
"DRH49","OUT049",NA
"FDY43","OUT045",NA
"NCT05","OUT017",NA
"FDZ34","OUT045",NA
"FDL38","OUT017",NA
"FDZ31","OUT017",NA
"FDR14","OUT035",NA
